1972-73,K. Abdul-Jabbar* (28.45),T. Archibald* (25.19),J. West* (23.23),S. Haywood* (22.74),B. Lanier* (22.09),R. Barry* (20.37),S. Wicks (20.34),C. Walker* (20.26),W. Frazier* (19.68),P. Maravich* (19.65)
1972-73,J. Erving* (27.66),B. Cunningham* (24.73),A. Gilmore* (24.10),G. McGinnis* (22.67),D. Issel* (22.40),B. Paultz (21.71),W. Jabali (20.78),M. Calvin (19.59),R. Simpson (19.57),M. Daniels* (19.27)
1971-72,K. Abdul-Jabbar* (29.94),B. Lanier* (23.14),J. West* (23.14),T. Archibald* (22.99),C. Walker* (21.79),W. Frazier* (21.55),B. Cunningham* (21.29),A. Clark (20.47),L. Wilkens* (20.25),J. Havlicek* (20.11)
1971-72,A. Gilmore* (26.58),Z. Beaty* (24.62),J. McDaniels (24.07),J. Erving* (23.95),D. Freeman (23.85),D. Issel* (23.34),R. Barry* (21.76),M. Daniels* (21.35),C. Scott (21.08),W. Wise (20.70)
1970-71,K. Abdul-Jabbar* (28.95),J. West* (23.48),D. Bing* (22.54),B. Kauffman (20.87),J. Havlicek* (20.79),J. Lucas* (20.62),B. Cunningham* (20.50),T. Boerwinkle (20.41),W. Chamberlain* (20.30),B. Lanier* (20.05)
1970-71,Z. Beaty* (25.22),D. Issel* (25.00),R. Barry* (22.63),M. Daniels* (21.88),J. Brisker (21.77),D. Freeman (20.62),R. Scott (19.60),B. Verga (19.18),M. Calvin (19.16),N. Johnson (19.11)
1969-70,J. West* (24.64),K. Abdul-Jabbar* (22.48),O. Robertson* (21.47),D. Bing* (21.34),W. Frazier* (21.06),B. Cunningham* (20.98),E. Baylor* (20.80),W. Reed* (20.30),J. Havlicek* (20.00),C. Hawkins* (19.74)
1969-70,S. Haywood* (28.00),R. Barry* (24.87),D. Freeman (22.75),J. Brisker (22.27),L. Jones (21.13),R. Robbins (21.08),L. Tart (20.75),R. Brown* (20.63),M. Lewis (20.26),M. Daniels* (19.97)
1968-69,J. West* (22.32),W. Chamberlain* (21.89),O. Robertson* (21.78),W. Reed* (21.37),E. Baylor* (20.70),J. Lucas* (20.63),W. Frazier* (20.17),B. Boozer (19.86),B. Howell* (19.35),Z. Beaty* (19.10)
1968-69,C. Hawkins* (29.74),J. Jones (24.66),L. Jones (23.54),M. Daniels* (21.71),D. Freeman (21.03),J. Eakins (21.00),R. Brown* (20.93),S. Thoren (20.09),B. McGill (19.68),G. Bradds (19.65)
1967-68,W. Chamberlain* (24.71),O. Robertson* (24.56),J. West* (23.15),E. Baylor* (20.99),J. Lucas* (19.77),W. Reed* (19.47),W. Hazzard (19.41),Z. Beaty* (19.32),E. Monroe* (19.32),W. Bellamy* (19.07)
1967-68,C. Hawkins* (28.78),R. Robbins (25.73),J. Beasley (23.78),M. Daniels* (22.45),C. Hagan* (21.52),B. Netolicky (21.41),L. Jones (21.35),D. Moe (21.20),W. Somerset (20.48),C. Powell (20.46)
1966-67,W. Chamberlain* (26.51),O. Robertson* (25.52),R. Barry* (24.16),J. West* (22.65),E. Baylor* (20.15),W. Reed* (19.68),B. Howell* (19.51),B. Cunningham* (19.31),J. Havlicek* (19.22),B. Russell* (18.60)
1965-66,W. Chamberlain* (28.26),O. Robertson* (25.17),J. West* (24.61),S. Jones* (21.70),R. Barry* (20.01),J. Green (19.33),W. Bellamy* (19.27),B. Howell* (19.01),J. Lucas* (18.78),Z. Beaty* (18.51)
1964-65,W. Chamberlain* (28.62),O. Robertson* (26.68),J. West* (24.97),B. Pettit* (22.60),W. Bellamy* (21.69),J. Lucas* (20.94),S. Jones* (20.74),E. Baylor* (20.49),B. Russell* (19.53),B. Howell* (18.85)
1963-64,W. Chamberlain* (31.63),O. Robertson* (27.64),J. West* (24.18),B. Pettit* (23.62),W. Bellamy* (23.28),E. Baylor* (21.12),B. Howell* (21.09),T. Dischinger (19.58),B. Russell* (19.33),J. Lucas* (18.93)
1962-63,W. Chamberlain* (31.82),E. Baylor* (26.63),B. Pettit* (24.97),W. Bellamy* (24.93),O. Robertson* (24.63),J. West* (21.88),B. Howell* (21.56),C. Hagan* (21.20),T. Dischinger (20.79),S. Jones* (19.05)
1961-62,W. Chamberlain* (31.74),E. Baylor* (26.52),W. Bellamy* (26.30),O. Robertson* (25.96),B. Pettit* (24.25),J. West* (22.62),R. Guerin* (20.89),T. Heinsohn* (19.98),B. Russell* (19.36),C. Hagan* (19.35)
1960-61,E. Baylor* (28.24),W. Chamberlain* (27.77),O. Robertson* (25.90),B. Pettit* (25.24),B. Howell* (21.19),C. Lovellette* (20.48),C. Hagan* (20.08),J. Twyman* (19.60),D. Schayes* (19.19),W. Naulls (19.08)
1959-60,W. Chamberlain* (28.04),E. Baylor* (25.17),B. Pettit* (23.71),C. Lovellette* (23.35),C. Hagan* (22.02),K. Sears (21.79),R. Guerin* (21.45),J. Twyman* (21.08),D. Schayes* (20.53),B. Russell* (20.12)
1958-59,B. Pettit* (28.20),E. Baylor* (23.58),C. Hagan* (22.74),K. Sears (22.58),C. Lovellette* (22.35),P. Arizin* (21.87),J. Twyman* (21.31),D. Schayes* (21.00),B. Russell* (20.72),G. Yardley* (20.51)
1957-58,B. Pettit* (26.26),D. Schayes* (24.18),G. Yardley* (23.29),B. Russell* (22.76),C. Hagan* (22.62),N. Johnston* (22.45),C. Lovellette* (22.22),M. Stokes* (20.63),L. Foust (19.99),H. Gallatin* (19.81)
1956-57,B. Pettit* (28.07),N. Johnston* (26.62),D. Schayes* (24.44),H. Gallatin* (22.91),P. Arizin* (22.19),C. Lovellette* (21.91),G. Yardley* (21.85),B. Cousy* (21.00),B. Russell* (20.95),M. Stokes* (19.97)
1955-56,B. Pettit* (27.34),N. Johnston* (25.08),L. Foust (23.77),D. Schayes* (23.73),C. Lovellette* (23.47),M. Stokes* (22.12),B. Houbregs* (21.99),P. Arizin* (21.28),C. Share (20.60),B. Cousy* (20.23)
1954-55,N. Johnston* (25.41),B. Pettit* (24.39),L. Foust (23.01),D. Schayes* (22.98),C. Share (21.96),B. Cousy* (21.26),C. Lovellette* (21.00),H. Gallatin* (20.50),R. Felix (20.42),V. Mikkelsen* (20.13)
1953-54,G. Mikan* (28.75),N. Johnston* (25.60),D. Schayes* (24.30),H. Gallatin* (24.14),E. Macauley* (23.37),R. Felix (22.92),L. Foust (22.78),E. Miller (21.34),B. Cousy* (21.04),C. Share (20.05)
1952-53,G. Mikan* (28.51),N. Johnston* (25.89),D. Schayes* (25.39),E. Macauley* (24.27),H. Gallatin* (23.32),B. Cousy* (21.68),V. Mikkelsen* (21.65),L. Foust (20.49),B. Sharman* (19.82),C. Simmons (18.93)
1951-52,G. Mikan* (26.46),P. Arizin* (25.53),D. Schayes* (23.71),E. Macauley* (22.55),H. Gallatin* (21.97),V. Mikkelsen* (21.87),B. Cousy* (21.41),L. Foust (21.20),A. Risen* (20.63),D. Otten (19.97)
