Team,Date,ELO,,,
ATL,3/22/15,1638.42692,,,
ATL,3/25/15,1640.427506,,,
ATL,3/27/15,1646.163677,,,
ATL,3/28/15,1628.2352,,,
ATL,3/30/15,1633.062666,,,
ATL,3/31/15,1619.525104,,,
ATL,4/4/15,1630.106758,,,
ATL,4/7/15,1640.824073,,,
ATL,4/8/15,1643.33787,,,
ATL,4/10/15,1649.7046,,,
ATL,4/12/15,1637.2704,,,
ATL,4/13/15,1629.077743,,,
ATL,4/15/15,1620.513434,,,
ATL,4/19/15,1624.3559,,,
ATL,4/22/15,1627.429605,,,
ATL,4/25/15,1615.683141,,,
ATL,4/27/15,1606.78292,,,
ATL,4/29/15,1612.217244,,,
ATL,5/1/15,1622.062737,,,
ATL,5/3/15,1613.696632,,,
ATL,5/5/15,1623.716314,,,
ATL,5/9/15,1618.070755,,,
ATL,5/11/15,1623.235261,,,
ATL,5/13/15,1625.872689,,,
ATL,5/15/15,1629.693535,,,
ATL,5/20/15,1621.938492,,,
ATL,5/22/15,1612.377171,,,
ATL,5/24/15,1607.635571,,,
ATL,5/26/15,1589.510598,,,
ATL,10/26/15,1568.382948,,,
ATL,10/24/16,1552.537211,,,
ATL,10/27/16,1562.504965,,,
ATL,10/29/16,1568.038371,,,
ATL,10/31/16,1573.952133,,,
ATL,11/2/16,1563.321346,,,
ATL,11/4/16,1556.702631,,,
ATL,11/5/16,1567.120625,,,
ATL,11/8/16,1575.902409,,,
ATL,11/9/16,1583.130433,,,
ATL,11/12/16,1586.263619,,,
ATL,11/15/16,1590.562819,,,
ATL,11/16/16,1595.210046,,,
ATL,11/18/16,1588.375128,,,
ATL,11/20/16,1574.97664,,,
ATL,11/22/16,1557.342591,,,
ATL,11/23/16,1566.256343,,,
ATL,11/25/16,1544.175154,,,
ATL,11/27/16,1527.115024,,,
ATL,11/28/16,1523.137245,,,
ATL,11/30/16,1516.909223,,,
ATL,12/2/16,1494.569107,,,
ATL,12/3/16,1472.523234,,,
ATL,12/5/16,1469.138926,,,
ATL,12/7/16,1478.145302,,,
ATL,12/9/16,1484.890118,,,
ATL,12/13/16,1473.106487,,,
ATL,12/16/16,1483.580268,,,
ATL,12/17/16,1475.726176,,,
ATL,12/19/16,1482.848693,,,
ATL,12/21/16,1472.783122,,,
ATL,12/23/16,1475.953138,,,
ATL,12/26/16,1460.800129,,,
ATL,12/28/16,1466.339338,,,
ATL,12/30/16,1474.649864,,,
ATL,1/1/17,1483.558293,,,
